Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,FEDFUNDS
2020-07-20,75.29841721679708,77.98281870142765,74.68708565595804,77.72586059570312,30166000,0.0,0.0,0.09
2020-07-21,78.77905045806976,78.87944629050313,77.16820471125425,77.33222198486328,27486000,0.0,0.0,0.09
2020-07-22,77.32177049396131,77.88191056426423,76.70149001074321,77.77604675292969,24482000,0.0,0.0,0.09
2020-07-23,77.82973137988438,78.04941454112458,74.97981882202595,75.38539123535156,33910000,0.0,0.0,0.09
2020-07-24,74.51262973033744,75.31978544778006,73.93608559850033,74.9609375,29902000,0.0,0.0,0.09
2020-07-27,75.21192748626585,76.41968047027258,75.16570354912521,76.0156021118164,27124000,0.0,0.0,0.09
2020-07-28,75.79543976190749,75.84563767748527,74.57873754224073,74.73430633544922,30910000,0.0,0.0,0.09
2020-07-29,74.80138542587366,76.20943703995182,74.70247606239894,75.72136688232422,22676000,0.0,0.0,0.09
2020-07-30,74.45199128704489,76.58520161331768,74.31282650347576,76.45995330810547,36042000,0.0,0.0,0.09
2020-07-31,74.40626116049008,74.80238401164732,72.26658953456065,73.95397186279297,91468000,0.0,0.0,0.09
2020-08-03,74.10556841740734,74.44005682994376,73.14731087568586,73.6960220336914,45482000,0.0,0.0,0.1
2020-08-04,73.89234213587086,74.2104341120934,72.76509995057629,73.22583770751953,37212000,0.0,0.0,0.1
2020-08-05,73.40078496062814,74.05585279785222,73.12244786821866,73.51360321044922,29134000,0.0,0.0,0.1
2020-08-06,73.36749423519043,74.86451283620934,73.15625955179489,74.79890441894531,33306000,0.0,0.0,0.1
2020-08-07,75.00219058868828,75.55139469418054,73.87047383922078,74.47187042236328,27718000,0.0,0.0,0.1
2020-08-10,74.09562835921085,74.90825207707984,73.43409132935585,74.39483642578125,20546000,0.0,0.0,0.1
2020-08-11,74.254654759849,75.07176039552422,73.46887067264456,73.5856704711914,31098000,0.0,0.0,0.1
2020-08-12,73.91272792250739,75.1329110653364,73.80735705287225,74.91272735595703,22512000,0.0,0.0,0.1
2020-08-13,74.96093555951427,76.39036635907057,74.96093555951427,75.38041687011719,22388000,0.0,0.0,0.1
2020-08-14,75.22931020163868,75.53647373290687,74.50316596698688,74.78298950195312,21942000,0.0,0.0,0.1
2020-08-17,75.34663044601552,75.73480540868046,74.80140024534988,75.36004638671875,19990000,0.0,0.0,0.1
2020-08-18,75.85110315140423,77.40428834068508,75.62993352408492,77.32526397705078,28378000,0.0,0.0,0.1
2020-08-19,77.16172889820545,77.97535362188799,76.54095544731099,76.77008056640625,30472000,0.0,0.0,0.1
2020-08-20,76.53946273744957,78.53748204410786,76.26560770655841,78.3426513671875,26382000,0.0,0.0,0.1
2020-08-21,78.12147749467412,79.11949748990821,77.64981128979412,78.3088607788086,34838000,0.0,0.0,0.1
2020-08-24,79.14881140764089,79.95945564648534,78.282508846513,78.78499603271484,25638000,0.0,0.0,0.1
2020-08-25,78.53400457958628,79.96442887415282,78.42366625157257,79.81383514404297,25150000,0.0,0.0,0.1
2020-08-26,79.83619697866935,82.14684028407368,79.5717839155142,81.71641540527344,52188000,0.0,0.0,0.1
