Date,GOOGL_volatility,Days_from_cut,Cut_date
2021-03-08,0.024281858603830055,7,2021-03-01
2021-03-09,0.02495093237775003,8,2021-03-01
2021-03-10,0.024581174349372337,9,2021-03-01
2021-03-11,0.024096461832122797,10,2021-03-01
2021-03-12,0.025733032664155296,11,2021-03-01
2021-03-15,0.024569018155091788,14,2021-03-01
2021-03-16,0.02498722563994303,15,2021-03-01
2021-03-17,0.023181258122407577,16,2021-03-01
2021-03-18,0.025171253093999674,17,2021-03-01
2021-03-19,0.022724478234866067,18,2021-03-01
2021-03-22,0.017980850081606284,21,2021-03-01
2021-03-23,0.01727476364312045,22,2021-03-01
2021-03-24,0.01732203621748062,23,2021-03-01
2021-03-25,0.01332834448330344,24,2021-03-01
2021-03-26,0.011171961657129727,25,2021-03-01
2021-03-29,0.01173554519756995,28,2021-03-01
2021-03-30,0.01056444590831007,29,2021-03-01
2021-03-31,0.010996360231285503,30,2021-03-01
2021-04-05,0.015649802920376737,-28,2021-05-03
2021-04-06,0.016091387775819737,-27,2021-05-03
2021-04-07,0.01611228729958477,-26,2021-05-03
2021-04-08,0.015485316855518436,-25,2021-05-03
2021-04-09,0.015070785940513582,-24,2021-05-03
2021-04-12,0.016082770940602627,-21,2021-05-03
2021-04-13,0.01619861713578008,-20,2021-05-03
2021-04-14,0.016683535241341273,-19,2021-05-03
2021-04-15,0.016966295862312204,-18,2021-05-03
2021-04-16,0.015341477522091387,-17,2021-05-03
2021-04-19,0.00926168032307577,-14,2021-05-03
2021-04-20,0.009291496835461549,-13,2021-05-03
2021-04-21,0.00858494607968198,-12,2021-05-03
2021-04-22,0.00941196706268871,-11,2021-05-03
2021-04-23,0.011262773774467811,-10,2021-05-03
2021-04-26,0.010336449751742593,-7,2021-05-03
2021-04-27,0.010890360134415729,-6,2021-05-03
2021-04-28,0.013652541948068687,-5,2021-05-03
2021-04-29,0.01315662856656706,-4,2021-05-03
2021-04-30,0.01470423372353846,-3,2021-05-03
2021-05-03,0.014898812839524005,0,2021-05-03
2021-05-04,0.015829926216164757,1,2021-05-03
2021-05-05,0.015831591094133114,2,2021-05-03
2021-05-06,0.015297822136429922,3,2021-05-03
2021-05-07,0.014114576475072398,4,2021-05-03
2021-05-10,0.016594970263587232,7,2021-05-03
2021-05-11,0.01666324526969776,8,2021-05-03
2021-05-12,0.015278189656198095,9,2021-05-03
2021-05-13,0.015096089635685768,10,2021-05-03
2021-05-14,0.017190639393795535,11,2021-05-03
2021-05-17,0.017350895626320296,14,2021-05-03
2021-05-18,0.017059861150840717,15,2021-05-03
2021-05-19,0.01707951248203563,16,2021-05-03
2021-05-20,0.017609628690685386,17,2021-05-03
2021-05-21,0.01745279324986974,18,2021-05-03
2021-05-24,0.017933775322980388,21,2021-05-03
2021-05-25,0.017419870825747506,22,2021-05-03
2021-05-26,0.012372690913696346,23,2021-05-03
2021-05-27,0.01310573357624752,24,2021-05-03
2021-05-28,0.01198399880706867,25,2021-05-03
2021-06-01,0.012179627301358586,29,2021-05-03
2021-06-02,0.011348304199720953,30,2021-05-03
2021-07-06,0.007467846971114291,-27,2021-08-02
2021-07-07,0.0074740990711965535,-26,2021-08-02
2021-07-08,0.008713746746401047,-25,2021-08-02
2021-07-09,0.008723092468418011,-24,2021-08-02
2021-07-12,0.0091240178437557,-21,2021-08-02
2021-07-13,0.009052386652618765,-20,2021-08-02
2021-07-14,0.00883459949756281,-19,2021-08-02
2021-07-15,0.009797599684255205,-18,2021-08-02
2021-07-16,0.00988825254719714,-17,2021-08-02
2021-07-19,0.00966092622031571,-14,2021-08-02
2021-07-20,0.010320237397158054,-13,2021-08-02
2021-07-21,0.010842745053420541,-12,2021-08-02
2021-07-22,0.010063390806059731,-11,2021-08-02
2021-07-23,0.014532103318833405,-10,2021-08-02
2021-07-26,0.014413449710083091,-7,2021-08-02
2021-07-27,0.015942115813765843,-6,2021-08-02
2021-07-28,0.018280187409304954,-5,2021-08-02
2021-07-29,0.01772089070363878,-4,2021-08-02
2021-07-30,0.01820463924382867,-3,2021-08-02
2021-08-02,0.016153010714830215,0,2021-08-02
2021-08-03,0.016066032101146807,1,2021-08-02
2021-08-04,0.016377814502578678,2,2021-08-02
2021-08-05,0.01639406739033007,3,2021-08-02
2021-08-06,0.012806838236853649,4,2021-08-02
2021-08-09,0.012858045254137355,7,2021-08-02
2021-08-10,0.011280174625636947,8,2021-08-02
