DaysFromEvent,AvgReturn,AvgVolume
-20,0.002502412288898981,21935600.0
-19,0.005631909938720536,22122400.0
-18,-0.007452657229479609,24175200.0
-17,0.0012987475567460827,24135000.0
-16,-0.0006638879191185887,21693000.0
-15,0.005044306961099328,23626666.666666668
-14,-0.0006819354557608404,25471500.0
-13,0.009601640725839489,30246000.0
-12,0.02026342938893393,32553600.0
-11,0.001120723986913119,32122000.0
-10,0.006866187038778115,33619000.0
-9,0.00935817785990356,25829000.0
-8,0.001151712571235734,23017333.333333332
-7,0.005321660341765733,30114666.666666668
-6,0.0026968596447440873,38725600.0
-5,0.0010547380314715137,52076000.0
-4,-0.001001689940492434,36599600.0
-3,-0.006732871309232391,38633500.0
-2,0.016890431748820434,52770000.0
-1,0.0029984016199495755,30034666.666666668
0,0.010562842035660288,29908428.57142857
1,6.615505748791123e-05,31877692.307692308
2,0.003176997626023389,33144769.230769232
3,-0.02022997136860756,36234923.07692308
4,-0.0013414782732165675,32290666.666666668
5,0.003441928134536809,26636000.0
6,0.006759248689983566,22657000.0
7,0.003010937657264163,28694428.57142857
8,-0.008397467583152348,29004769.230769232
9,0.006392170150015679,25289500.0
10,0.005826979060251153,35472222.222222224
11,-0.03277489166819747,91468000.0
14,-0.0034880811942687995,45482000.0
15,-0.006379947417481047,37212000.0
16,0.003929939777181479,29134000.0
17,0.01748374980385181,33306000.0
18,-0.004372074293439332,27718000.0
