Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2020-12-10,341.5643806255179,343.89213600645746,340.68562386941807,342.8357849121094,57735400,0.0,0.0,0.0
2020-12-11,341.1251209175319,342.8452332325483,339.5919891162172,342.43389892578125,57698600,0.0,0.0,0.0
2020-12-14,344.6214521242307,345.7058477774663,340.72313391204784,340.9007568359375,69216200,0.0,0.0,0.0
2020-12-15,343.4621470224209,345.50946044921875,342.07859427938155,345.50946044921875,63865300,0.0,0.0,0.0
2020-12-16,345.7244952169514,346.9771844937207,344.8363807714885,346.05169677734375,58420500,0.0,0.0,0.0
2020-12-17,347.7063742190196,348.19248351995736,346.87434818154395,347.98681640625,64119500,0.0,0.0,0.0
2020-12-18,348.27789593982584,348.44687852655625,344.56950459854585,346.5973815917969,136542300,1.58,0.0,0.0
2020-12-21,342.6449189270984,355.3097313629829,339.8847553662255,345.3581237792969,96386700,0.0,0.0,0.0
2020-12-22,345.68672863276714,345.79938369502804,343.64008526614856,344.77606201171875,47949000,0.0,0.0,0.0
2020-12-23,345.7524379869379,347.01046720996095,344.75728011423564,345.08587646484375,46201400,0.0,0.0,0.0
2020-12-24,345.56466921686945,346.4565695267231,344.97323015177756,346.42840576171875,26457900,0.0,0.0,0.0
2020-12-28,349.00076118305293,349.79877265593797,348.3717609361956,349.40447998046875,39000400,0.0,0.0,0.0
2020-12-29,350.94411067834875,351.12249070633493,348.1463864006702,348.73785400390625,53680500,0.0,0.0,0.0
2020-12-30,349.5640699675113,350.27759016276275,348.84118095183555,349.2354736328125,49455300,0.0,0.0,0.0
2020-12-31,349.0383382759058,351.7421742052832,348.5219930557214,351.0098876953125,78520700,0.0,0.0,0.0
2021-01-04,352.3523948839553,352.48384487733864,342.50407428116006,346.2312316894531,110210800,0.0,0.0,0.0
2021-01-05,345.58341092427617,349.7142581765999,345.5364522226167,348.6158142089844,66426200,0.0,0.0,0.0
2021-01-06,347.09487744800373,353.92019079242385,346.54097111242174,350.6999816894531,107997700,0.0,0.0,0.0
2021-01-07,353.0940925087612,356.6616362990513,352.9157124541639,355.91058349609375,68766800,0.0,0.0,0.0
2021-01-08,357.3094780712548,358.1544197473745,354.0329689640338,357.9385070800781,71677200,0.0,0.0,0.0
2021-01-11,354.7370207824091,357.30000906515437,354.61496826402583,355.525634765625,51034700,0.0,0.0,0.0
2021-01-12,355.7133916996036,356.62402949769387,353.338123765647,355.6007080078125,52547700,0.0,0.0,0.0
2021-01-13,355.5257523182421,357.5629986191143,354.73713807427526,356.5584716796875,45303600,0.0,0.0,0.0
2021-01-14,357.3093747325672,357.8163510519474,354.9716967528632,355.3096618652344,49989100,0.0,0.0,0.0
2021-01-15,353.67607171677247,354.48345183964625,350.8408151667558,352.7184753417969,107160000,0.0,0.0,0.0
2021-01-19,355.19703254217853,356.0326052151817,353.70429588615946,355.4880676269531,51233300,0.0,0.0,0.0
2021-01-20,357.7975866283241,361.2525037596756,357.4032939635952,360.4075622558594,61836100,0.0,0.0,0.0
2021-01-21,360.97085259434635,361.40273516060154,359.80671219152816,360.73614501953125,47840100,0.0,0.0,0.0
2021-01-22,358.8678524442278,360.63285784613646,358.48292861501795,359.4593200683594,52860500,0.0,0.0,0.0
2021-01-25,360.2010246976405,361.2337150808615,355.30969832974995,360.8769836425781,70402000,0.0,0.0,0.0
2021-01-26,361.8346213394072,362.24770899998134,360.07901310738197,360.313720703125,42665300,0.0,0.0,0.0
2021-01-27,356.9620788794984,357.055967645205,349.2542896838257,351.5074768066406,123351100,0.0,0.0,0.0
2021-01-28,353.33806301067307,358.56735325271694,352.8968403930273,354.5303955078125,94198100,0.0,0.0,0.0
2021-01-29,352.652785358297,353.62917676844955,345.7429803299595,347.4328918457031,126765100,0.0,0.0,0.0
2021-02-01,350.8597129523197,354.25827455875384,347.72402272287957,353.2161865234375,75817600,0.0,0.0,0.0
2021-02-02,356.42695186595586,359.77858323476175,353.3006592733348,358.2107238769531,64450700,0.0,0.0,0.0
2021-02-03,359.0463076319992,360.22924312786756,357.2062080335167,358.4924011230469,52427100,0.0,0.0,0.0
2021-02-04,359.5344319293629,362.61379406680913,358.6049991309673,362.5668640136719,47142600,0.0,0.0,0.0
2021-02-05,364.4539428251779,364.70741669807336,362.51995465199013,363.993896484375,48669800,0.0,0.0,0.0
2021-02-08,365.4585114474195,366.6696107252655,364.5948034956334,366.6226806640625,38365200,0.0,0.0,0.0
2021-02-09,365.7776444017753,366.9793746411934,365.3645854455077,366.3785095214844,35551100,0.0,0.0,0.0
2021-02-10,368.13406302473004,368.2842792824181,363.7966724432159,366.2188415527344,59154400,0.0,0.0,0.0
2021-02-11,367.3080343394546,367.7305195232784,364.3601214784198,366.8104553222656,42913300,0.0,0.0,0.0
2021-02-12,366.00297009492465,368.8663908298301,365.92784763222704,368.622314453125,50593300,0.0,0.0,0.0
2021-02-16,369.8615622600723,370.0587372438281,367.58021159797727,368.3031005859375,50972400,0.0,0.0,0.0
2021-02-17,366.53813744478924,368.64110814343223,365.5147872075395,368.38763427734375,52290600,0.0,0.0,0.0
2021-02-18,365.75897168537193,367.5709076772854,364.02212952722095,366.8198547363281,59712800,0.0,0.0,0.0
2021-02-19,368.087157635444,368.378192700828,365.7212872319052,366.17193603515625,83241000,0.0,0.0,0.0
2021-02-22,363.3836325113304,365.7870356476132,363.0831999565887,363.35546875,67414200,0.0,0.0,0.0
2021-02-23,361.13047823018604,365.1580683687233,356.94330297998846,363.7967529296875,107284100,0.0,0.0,0.0
2021-02-24,362.69830278931323,368.23742456544716,361.7031449480234,367.8055419921875,72433900,0.0,0.0,0.0
2021-02-25,366.528727232895,367.90880886861413,357.4877871959212,358.9429626464844,146670500,0.0,0.0,0.0
2021-02-26,360.8393660059298,361.99410872869663,355.09373019748244,357.0934143066406,152701600,0.0,0.0,0.0
2021-03-01,362.0035878256228,367.00756958868834,357.29066982709156,365.74951171875,105348800,0.0,0.0,0.0
2021-03-02,365.97483957625576,366.20954715456116,362.3885009035505,362.8954772949219,79595300,0.0,0.0,0.0
2021-03-03,362.19133725305664,363.16770010355685,357.9853673365039,358.0886535644531,119940200,0.0,0.0,0.0
2021-03-04,357.90094348377204,360.5108909755304,349.13227056324826,353.6574401855469,183433000,0.0,0.0,0.0
2021-03-05,357.1873779252522,361.2243655188771,349.8457465481457,360.1634826660156,152039600,0.0,0.0,0.0
2021-03-08,361.1305559020396,363.96581379457416,358.08875414641744,358.3703918457031,123149200,0.0,0.0,0.0
2021-03-09,362.2477364361363,366.0593857876261,361.7407599687013,363.48699951171875,113633600,0.0,0.0,0.0
2021-03-10,365.85279795471286,367.45818981593476,364.42578615038536,365.74951171875,109899400,0.0,0.0,0.0
2021-03-11,368.2374482328218,371.44823207026684,367.77740186659247,369.4579162597656,86245000,0.0,0.0,0.0
2021-03-12,368.08718131522096,370.0962631426303,367.2704035855775,369.9554443359375,64653600,0.0,0.0,0.0
2021-03-15,370.2089599880175,372.4246145165114,368.0496616393893,372.1617431640625,73427200,0.0,0.0,0.0
2021-03-16,372.781337798249,373.49482931249094,370.9130461003731,371.6922912597656,73722500,0.0,0.0,0.0
2021-03-17,370.39673019066225,373.7671276485625,369.2419585665927,372.9597473144531,97959300,0.0,0.0,0.0
2021-03-18,370.3498163178297,372.4527871877105,366.84796870786806,367.5333251953125,115349100,0.0,0.0,0.0
2021-03-19,367.23002783992575,368.82185003094503,364.6586161287406,366.853271484375,113624500,1.278,0.0,0.0
2021-03-22,367.37125690374404,371.1765616795176,367.3147448954864,369.78253173828125,73778600,0.0,0.0,0.0
2021-03-23,369.14203455597783,370.6019759764237,366.0808429530677,366.8720397949219,90686600,0.0,0.0,0.0
2021-03-24,368.28492040835533,369.9332544511037,364.9599963176266,365.007080078125,97588600,0.0,0.0,0.0
2021-03-25,363.5566274014315,367.86111288729745,361.5974482299803,367.0605163574219,116128600,0.0,0.0,0.0
2021-03-26,368.218917882675,373.38056767464786,367.6161136247715,372.9755554199219,114409100,0.0,0.0,0.0
2021-03-29,371.48736728501115,373.70085002844104,369.9897416189448,372.7872009277344,108107600,0.0,0.0,0.0
2021-03-30,371.5062294862757,372.47639060854374,370.18753932464574,371.7982177734375,76262200,0.0,0.0,0.0
2021-03-31,372.3727904040966,374.87826163220427,372.34453439848375,373.3052673339844,112734200,0.0,0.0,0.0
2021-04-01,375.2549762015052,377.39311911874,375.0477559351798,377.3365783691406,99682900,0.0,0.0,0.0
2021-04-05,380.02104428678433,383.2988845613166,379.9457045223341,382.7525634765625,91684800,0.0,0.0,0.0
2021-04-06,382.1874477145245,383.58144895763775,381.848346908994,382.5265197753906,62021000,0.0,0.0,0.0
2021-04-07,382.35697517106036,383.3177080666355,381.8954508503425,382.9692077636719,55836300,0.0,0.0,0.0
2021-04-08,384.231388745645,384.8436213885164,383.28948352748415,384.787109375,57863100,0.0,0.0,0.0
2021-04-09,384.664681064683,387.75412899209357,384.5422287886964,387.5845642089844,61104600,0.0,0.0,0.0
2021-04-12,386.9816865398506,387.99893132253766,386.36945402052396,387.7257995605469,56704900,0.0,0.0,0.0
2021-04-13,387.6222177870492,389.50602805087846,387.2360332336046,388.87493896484375,56551000,0.0,0.0,0.0
2021-04-14,388.8466493064502,389.91100661254103,387.00052345618326,387.5468444824219,61659900,0.0,0.0,0.0
2021-04-15,389.70375975310554,391.9831824671314,389.65667600166387,391.71002197265625,60229800,0.0,0.0,0.0
2021-04-16,393.00991989483333,393.63158073695655,391.578234429275,393.01934814453125,82037300,0.0,0.0,0.0
2021-04-19,392.0774882174121,392.52958434042637,389.75098110217783,391.0884704589844,78498500,0.0,0.0,0.0
2021-04-20,389.86397293859443,390.9754141421128,386.7368408708665,388.2250671386719,81851800,0.0,0.0,0.0
2021-04-21,387.603413176734,392.10571882633735,387.4621044027784,391.89849853515625,66793000,0.0,0.0,0.0
2021-04-22,391.72893455055413,392.56721516097747,387.245456976526,388.3192138671875,97582800,0.0,0.0,0.0
2021-04-23,388.88437270281685,393.9518269831813,388.80903293885234,392.529541015625,73209200,0.0,0.0,0.0
2021-04-26,393.1888607385193,393.92354555457786,392.5954559361908,393.3489685058594,52182400,0.0,0.0,0.0
2021-04-27,393.65046684079044,393.8482876457861,392.115156634974,393.2642822265625,51303100,0.0,0.0,0.0
2021-04-28,393.53742971857224,394.66772751504794,392.68029249276714,393.1512451171875,51238900,0.0,0.0,0.0
2021-04-29,395.9015512483027,396.27830753244,392.2469549283813,395.6566467285156,78544300,0.0,0.0,0.0
2021-04-30,393.3678516318473,394.2249887660471,392.15278594219455,393.0570068359375,85527000,0.0,0.0,0.0
2021-05-03,395.06331021159957,395.44949481160506,393.40557652593395,393.90478515625,68128300,0.0,0.0,0.0
2021-05-04,391.898478185527,392.3976867595417,387.75410132176967,391.474609375,101591200,0.0,0.0,0.0
2021-05-05,393.1324170872847,393.3678933993313,391.03195803574835,391.59710693359375,60162200,0.0,0.0,0.0
2021-05-06,391.67242030171866,394.85606442511505,389.6473299035696,394.7242126464844,74321400,0.0,0.0,0.0
2021-05-07,395.49655484116664,398.2563299454914,394.8089537551282,397.59698486328125,67733800,0.0,0.0,0.0
2021-05-10,397.954936371938,398.180984415608,393.5373988023426,393.65985107421875,81852400,0.0,0.0,0.0
2021-05-11,389.1009835624808,391.1449014326829,386.23758414977044,390.146484375,116888000,0.0,0.0,0.0
2021-05-12,387.3396832128333,388.6206604790227,380.52969831325663,381.8577880859375,134811000,0.0,0.0,0.0
2021-05-13,383.42134716770835,388.3946053507644,383.3742346620757,386.4448547363281,106394000,0.0,0.0,0.0
2021-05-14,389.2046596444476,393.2360129578294,389.1764036367822,392.3788757324219,82201600,0.0,0.0,0.0
2021-05-17,391.25806961643764,392.1999749483401,389.3459741977927,391.3804931640625,65129200,0.0,0.0,0.0
2021-05-18,391.64413225197285,391.88903677824703,387.8482558180368,388.0083923339844,59810200,0.0,0.0,0.0
2021-05-19,383.28013037423386,387.1701752501672,381.7824756009308,386.9912109375,106467100,0.0,0.0,0.0
2021-05-20,387.8765479993963,392.42596619056087,387.7541244695032,391.1543884277344,78022200,0.0,0.0,0.0
2021-05-21,392.6520070581948,393.90475704228044,390.37261262384055,390.8341369628906,76578700,0.0,0.0,0.0
2021-05-24,393.0946873906276,395.90157505385287,392.8497828561144,394.8183898925781,51376700,0.0,0.0,0.0
2021-05-25,395.91102237722225,396.26895097253737,393.3584671898967,393.94244384765625,57451400,0.0,0.0,0.0
2021-05-26,394.5358201116805,395.2328207500578,393.4903191541145,394.7242126464844,43088600,0.0,0.0,0.0
2021-05-27,395.76033873279823,396.2783751187567,394.6488686997356,394.93145751953125,56707700,0.0,0.0,0.0
2021-05-28,396.5138739628929,396.7776062962229,395.4024326113355,395.6379089355469,58520200,0.0,0.0,0.0
2021-06-01,398.02088700508006,398.16216703605545,394.8466710822812,395.28936767578125,54216600,0.0,0.0,0.0
2021-06-02,395.9486949997098,396.7587484407751,394.9314500039375,395.9110107421875,49097100,0.0,0.0,0.0
2021-06-03,393.5750527583344,395.5907147301002,392.09625484895423,394.44158935546875,58138800,0.0,0.0,0.0
2021-06-04,396.3065725915034,398.3505193152656,394.50753039312485,398.0491027832031,55938800,0.0,0.0,0.0
2021-06-07,398.0397202031617,398.218684493066,396.7210586549191,397.6629638671875,51555000,0.0,0.0,0.0
2021-06-08,398.52947981947443,398.62367608473096,395.9015851102035,397.7477111816406,47134300,0.0,0.0,0.0
